Label,Node,Termini,Intersection
H,Hill,Mountain,Site of Corruption
T,Depression,Valley,Unique Hazard
HH,Ancient Cairn,Water Source,Site of Bounty
HT,Huge Sinkhole,Reculsive Tribe,Familiar Site
TT,Scene of Destruction,Stricken Community,Depleted Resource
TH,Site of Industry,Walled-Off Site,Burial Site
HHH,Mysterious Forest,Ecological Oasis,Execution Site
HHT,Outpost,Last of a People,Towering Monolith
HTT,Nest,Site of Imprisonment,Fortification
HTH,Unlikely Haven,Site Unvisited for Eons,Swamp
TTT,Subject of Ill Rumor,Site from Dire Dreams,Trap
TTH,Opening of a Cavern,Impassable Expanse,Unfriendly Hamlet
THH,Cursed Building,Leviathan,Site of Worship
THT,Remains of a Race,Remains of a Deity,Site Lost to Disrepute
1,Mysterious Pond,Unknown Valley,Plot Hook
2,Pitiful Farm,Tiny Island,Token Tavern
3,Overgrown Meadow,Huge Architectural Creature,Merchant Without Backstory
4,Ghastly Pit,Place of Hushed Rumour,Vast Fungall Network
5,Crowded Park,Monument Denied by Locals,Specialist Guild
6,Nice Hill,Ghostly Armourer,Fickle Wood
11,Symbolic Waste Site,Mandrill Safehouse,Unstaffed Lost Property Department
12,National Trust Care Park,Bloody Mast,Holographic Fortress
13,Dust Factory,Crude Coral Formation,Rigged Country Fairy
14,Hamlet of Lingering Resentment,Volcano Atop Another Volcano,Narcotic Verge
15,Wizard Atelier,Prairie of Forgotten Mammals,Den of Sighs
16,House of the Lord Of Averages,Ceremonial Void,Multidimensional Blowhole
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
